US_Coastline ,RSL_contribution,Offset_1992_2000,Offset_2000_2005,RSL2005,RSL2020 ,RSL2030,RSL2040 ,RSL2050,RSL2060,RSL2070,RSL2080,RSL2090,RSL2100,RSL2110,RSL2120,RSL2130,RSL2140,RSL2150,Scenario
1,0.091,2,2,0,6,12,20,25,29,34,36,40,44,48,52,57,61,66,2
1,0.081,2,2,0,6,13,21,25,28,34,36,40,43,47,52,56,60,64,2
1,0.071,2,2,0,6,12,20,24,27,33,35,38,42,46,50,54,58,63,2
1,0.031,2,2,0,6,11,19,22,25,30,31,34,38,42,45,49,53,56,2
1,0.053,2,2,0,6,11,18,21,23,28,30,33,38,42,46,50,54,58,2
1,0.049,2,2,0,6,11,17,20,22,28,29,32,37,41,45,48,52,56,2
1,0.041,2,2,0,6,10,17,19,22,26,28,31,35,39,43,46,50,53,2
1,0.032,2,2,0,6,10,16,18,20,25,26,29,34,37,41,44,47,51,2
1,0.022,2,2,0,5,9,15,17,19,23,24,27,31,34,38,41,44,47,2
1,0.012,2,2,0,5,8,14,15,17,21,22,25,29,32,35,38,41,43,2
1,0.019,2,2,0,6,10,17,20,22,27,28,32,36,40,43,47,50,54,2
1,0.019,2,2,0,6,10,17,20,22,26,28,31,35,39,42,46,49,53,2
1,-0.369,2,2,0,-24,-34,-42,-51,-59,-67,-76,-83,-90,-97,-105,-112,-118,-124,2
1,-0.213,2,2,0,-26,-36,-45,-54,-63,-71,-80,-87,-93,-101,-108,-116,-121,-126,2
1,-0.083,2,2,0,-19,-26,-32,-38,-44,-49,-55,-59,-62,-67,-72,-76,-79,-82,2
1,-0.132,2,2,0,-11,-15,-17,-21,-23,-26,-29,-31,-31,-34,-35,-37,-39,-40,2
1,-0.352,2,2,0,-10,-15,-19,-23,-26,-30,-34,-37,-38,-41,-45,-48,-51,-54,2
1,-0.574,2,2,0,-11,-17,-21,-27,-32,-37,-43,-46,-49,-54,-58,-63,-68,-72,2
1,-0.629,2,2,0,-10,-16,-20,-26,-31,-36,-42,-46,-48,-53,-57,-62,-66,-71,2
1,0.066,2,2,0,7,13,20,24,28,32,35,39,41,46,49,53,58,62,2
1,0.006,2,2,0,6,10,17,20,22,26,28,32,36,39,43,47,50,54,2
1,0.005,2,2,0,5,10,16,19,21,25,27,30,34,38,41,45,48,52,2
1,0.003,2,2,0,5,9,15,18,20,24,26,29,33,36,40,43,46,50,2
1,0,2,2,0,5,9,15,18,20,23,25,28,32,35,38,42,45,48,2
1,-0.006,2,2,0,5,8,14,17,19,22,23,27,30,34,37,40,43,46,2
1,-1.06,2,2,0,-18,-28,-37,-47,-57,-67,-77,-86,-94,-103,-112,-122,-131,-140,2
1,-1.129,2,2,0,-20,-31,-41,-52,-63,-74,-85,-95,-104,-114,-125,-135,-145,-155,2
1,-0.851,2,2,0,-16,-25,-32,-41,-49,-57,-66,-73,-79,-87,-94,-102,-110,-117,2
1,-0.387,2,2,0,-9,-13,-16,-19,-22,-26,-30,-32,-33,-36,-39,-42,-45,-48,2
1,-0.17,2,2,0,-5,-6,-6,-8,-9,-10,-11,-11,-9,-9,-9,-10,-10,-10,2
1,-0.247,2,2,0,-5,-7,-7,-9,-11,-12,-14,-14,-12,-13,-14,-15,-15,-16,2
1,-0.362,2,2,0,-6,-8,-10,-12,-14,-16,-19,-20,-20,-21,-23,-25,-26,-28,2
1,-0.268,2,2,0,-3,-5,-5,-7,-7,-8,-10,-10,-8,-9,-9,-10,-10,-11,2
